<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>	<PRECO_ANT>	<TAM_GAP>	<TEMP_GAP>	<MIN_MAX>
2020.09.22	09:03:00	5426.5	5430.5	5425.0	5427.0	4964	12702	500	5418.5	8.0	11	5418.5
2020.10.02	09:00:00	5660.5	5666.0	5657.5	5663.0	3347	9958	500	5646.5	14.0	4	5668.5
2020.10.14	09:00:00	5595.5	5595.5	5563.5	5563.5	5107	13112	500	5565.5	30.0	15	5580.0
2020.10.22	09:00:00	5616.0	5622.0	5614.0	5616.5	3578	9175	500	5610.0	6.0	12	5613.0
2020.11.04	09:03:00	5768.0	5768.0	5757.0	5759.5	6482	21638	500	5761.0	7.0	2	5762.0
2020.11.19	09:00:00	5383.0	5386.0	5373.0	5374.5	3517	8861	500	5365.0	18.0	5	5374.5
2020.11.25	09:00:00	5392.0	5398.5	5391.5	5393.5	2276	5354	500	5374.5	17.5	11	5377.0
2020.12.07	09:00:00	5170.0	5170.0	5165.5	5170.0	2372	8342	500	5159.0	11.0	15	5164.0
2021.01.13	09:00:00	5351.5	5351.5	5346.0	5350.0	2292	7658	500	5329.5	22.0	8	5329.5
2021.01.18	09:00:00	5313.5	5314.5	5304.0	5305.0	3604	10395	500	5294.5	19.0	4	5308.5
2021.01.27	09:00:00	5371.5	5375.5	5369.0	5371.0	2582	10220	500	5356.0	15.5	9	5362.0
2021.01.28	09:00:00	5430.0	5430.0	5420.5	5426.0	2809	6975	500	5415.0	15.0	15	5420.0
2021.03.03	09:00:00	5693.5	5694.5	5688.0	5688.5	2184	5603	500	5686.0	7.5	3	5694.5
2021.03.16	09:00:00	5631.0	5637.0	5627.0	5635.0	1771	5077	500	5621.0	10.0	12	5640.0
2021.05.11	09:00:00	5247.5	5247.5	5240.0	5245.0	2601	9514	500	5234.0	13.5	10	5239.5
2021.06.16	09:00:00	5061.0	5065.0	5060.0	5063.5	2998	9128	500	5051.0	10.0	8	5057.5
2021.06.17	09:02:00	5075.0	5079.5	5075.0	5078.0	2577	12361	500	5063.0	12.0	6	5073.0
2021.06.23	09:03:00	4966.5	4968.0	4964.0	4965.5	6629	26619	500	4961.0	5.5	6	4971.0
2021.07.13	09:00:00	5189.5	5192.0	5188.5	5191.5	2427	8303	500	5183.0	6.5	13	5188.0
2021.11.12	09:00:00	5420.0	5422.5	5417.0	5418.5	2319	8496	500	5413.5	6.5	7	5423.0
2021.12.29	09:00:00	5638.5	5640.0	5632.0	5633.0	1337	4554	500	5631.0	7.5	3	5631.5
2022.01.10	09:00:00	5673.5	5673.5	5666.5	5669.0	1725	7295	500	5666.0	7.5	3	5666.0
2022.01.20	09:00:00	5460.0	5461.5	5454.0	5461.0	5432	23665	500	5454.0	6.0	12	5460.0
2022.02.04	09:00:00	5329.5	5334.0	5327.5	5333.5	2388	10299	500	5318.0	11.5	7	5318.0
2022.02.08	09:00:00	5295.0	5298.5	5294.5	5296.5	2355	6724	500	5289.0	6.0	8	5294.5
2022.02.17	09:00:00	5165.0	5166.5	5159.5	5160.0	3093	8050	500	5151.5	13.5	10	5152.0
2022.03.03	09:00:00	5151.0	5154.0	5147.5	5154.0	2375	10026	500	5144.5	6.5	4	5145.0
2022.03.04	09:00:00	5089.5	5089.5	5072.5	5074.5	7026	23373	500	5075.0	14.5	2	5075.0
2022.03.07	09:00:00	5114.5	5129.0	5114.5	5128.0	3697	13760	500	5099.5	15.0	19	5102.0
2022.03.18	09:00:00	5069.0	5073.0	5068.0	5071.0	2335	7254	500	5060.5	8.5	7	5062.5
2022.03.23	09:00:00	4931.5	4933.0	4930.0	4932.5	1493	4517	500	4926.0	5.5	4	4927.0
2022.04.19	09:00:00	4680.0	4682.0	4675.5	4681.5	3702	12638	500	4670.0	10.0	12	4670.0
2022.04.29	09:00:00	4948.5	4965.0	4948.5	4961.0	7424	18561	500	4942.0	6.5	6	4954.5
2022.05.16	09:00:00	5104.0	5106.5	5102.0	5105.5	2101	8230	500	5088.5	15.5	13	5088.5
2022.05.18	09:00:00	4973.5	4978.0	4971.5	4974.5	3868	11729	500	4958.5	15.0	14	4970.0
2022.08.05	09:00:00	5263.5	5271.5	5262.0	5270.5	2892	11722	1	5251.0	12.5	18	5258.0
2022.08.09	09:00:00	5154.5	5156.5	5148.0	5150.0	4808	15154	1	5149.0	5.5	3	5150.0
2022.11.21	09:00:00	5398.0	5399.0	5386.5	5388.5	4750	16890	1	5388.0	10.0	3	5399.0
2022.11.28	09:00:00	5427.0	5427.0	5423.5	5425.5	1012	8410	1	5414.0	13.0	7	5430.0
